Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,295,5,0,0,0.0
1,290,10,0,0,0.0
2,287,13,0,0,0.0
3,282,18,0,0,0.0
4,275,25,0,0,0.0
5,271,29,0,0,0.0
6,267,33,0,1,0.0
7,264,35,0,1,0.0
8,261,38,0,1,0.0
9,257,42,0,2,0.0
10,250,48,0,2,0.0
11,243,55,0,2,0.0
12,233,65,0,4,0.0
13,226,70,0,5,100.0
14,215,80,0,7,200.0
15,210,83,0,7,100.0
16,203,88,2,7,100.0
17,198,91,4,8,100.0
18,186,102,4,10,200.0
19,172,112,6,10,100.0
20,161,123,6,10,100.0
21,148,133,9,11,100.0
22,135,143,11,11,100.0
23,126,152,11,12,100.0
24,111,166,11,12,200.0
25,103,171,14,13,200.0
26,93,177,17,13,200.0
27,86,181,20,14,200.0
28,76,183,27,14,200.0
29,70,186,30,15,200.0
30,64,186,35,17,300.0
31,57,188,38,18,300.0
32,49,187,46,19,300.0
33,46,186,49,21,300.0
34,43,180,56,21,200.0
35,38,180,61,22,200.0
36,31,181,66,23,300.0
37,28,177,72,24,300.0
38,25,169,82,24,300.0
39,23,163,90,25,300.0
40,23,156,96,26,300.0
41,21,147,106,26,300.0
42,20,137,117,26,300.0
43,18,134,122,28,300.0
44,16,127,129,28,200.0
45,14,118,140,28,200.0
46,13,112,147,29,200.0
47,13,100,158,30,200.0
48,13,93,164,31,0.0
49,13,84,172,32,0.0
50,12,80,176,32,0.0
51,12,75,181,33,0.0
52,12,64,191,33,0.0
53,11,54,202,33,0.0
54,9,53,205,33,0.0
55,9,48,210,33,0.0
56,9,45,213,33,0.0
57,9,40,218,33,0.0
58,8,38,221,34,0.0
59,8,36,222,34,0.0
60,8,32,226,35,0.0
61,8,25,232,35,0.0
62,8,21,236,35,0.0
63,8,20,237,35,0.0
64,8,16,241,35,0.0
65,8,14,243,35,0.0
66,8,14,243,35,0.0
67,7,14,244,35,0.0
68,7,10,248,35,0.0
69,7,10,248,35,0.0
70,6,11,248,36,0.0
71,5,11,248,36,0.0
72,5,7,252,36,0.0
73,5,7,252,36,0.0
74,5,7,252,36,0.0
75,5,7,252,36,0.0
76,5,4,255,36,0.0
77,5,4,255,36,0.0
78,5,4,255,36,0.0
79,5,4,255,36,0.0
80,5,4,255,36,0.0
81,5,3,256,36,0.0
82,5,3,256,36,0.0
83,5,3,256,36,0.0
84,5,3,256,36,0.0
85,5,3,256,36,0.0
86,5,3,256,36,0.0
87,5,3,256,36,0.0
88,5,3,256,36,0.0
89,5,3,256,36,0.0
