Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,496,4,0,0,20.0
1,493,7,0,0,30.0
2,492,8,0,1,30.0
3,492,7,0,1,30.0
4,492,7,0,1,30.0
5,490,9,0,1,30.0
6,484,15,0,2,40.0
7,480,18,0,2,50.0
8,478,20,0,2,50.0
9,475,23,0,2,60.0
10,471,27,0,3,70.0
11,463,34,0,4,70.0
12,459,37,0,4,70.0
13,455,41,0,4,70.0
14,448,48,0,5,80.0
15,441,54,0,5,60.0
16,435,59,1,6,60.0
17,423,69,2,6,70.0
18,418,73,3,6,60.0
19,411,80,3,6,80.0
20,407,83,4,6,80.0
21,402,87,5,7,90.0
22,391,95,7,7,80.0
23,381,105,7,8,90.0
24,371,113,8,9,80.0
25,362,118,11,11,110.0
26,355,121,13,11,70.0
27,341,132,16,11,90.0
28,337,134,18,12,90.0
29,324,145,19,12,120.0
30,312,156,20,14,130.0
31,298,168,20,16,110.0
32,291,169,24,16,150.0
33,284,167,33,17,130.0
34,267,180,36,17,150.0
35,254,192,37,19,150.0
36,238,201,42,21,160.0
37,222,208,49,21,180.0
38,207,222,50,23,190.0
39,199,219,59,25,190.0
40,187,226,62,28,230.0
41,175,226,71,30,240.0
42,166,228,76,32,210.0
43,154,233,81,34,260.0
44,139,238,89,34,280.0
45,124,247,95,34,280.0
46,107,258,101,35,300.0
47,99,257,109,38,230.0
48,90,245,127,40,180.0
49,81,246,133,42,210.0
50,71,247,140,42,210.0
51,57,249,152,43,240.0
52,52,248,157,47,240.0
53,51,239,163,47,220.0
54,50,230,173,49,220.0
55,49,217,185,49,220.0
56,45,214,192,50,220.0
57,42,208,200,52,210.0
58,38,204,206,54,250.0
59,35,196,215,56,190.0
60,34,184,226,57,240.0
61,32,166,245,58,180.0
62,31,157,254,58,180.0
63,29,149,264,58,170.0
64,27,138,277,60,170.0
65,23,133,284,61,140.0
66,22,124,293,62,120.0
67,21,113,304,64,120.0
68,19,105,312,64,110.0
69,16,92,328,65,100.0
70,16,84,335,65,90.0
71,16,80,339,65,90.0
72,16,72,347,67,90.0
73,15,68,350,67,80.0
74,14,64,355,67,80.0
75,13,59,361,69,60.0
76,13,53,365,69,80.0
77,12,49,370,69,70.0
78,11,44,376,69,50.0
79,11,39,381,70,50.0
80,11,37,382,70,40.0
81,11,35,384,71,30.0
82,11,32,386,71,40.0
83,11,28,390,71,30.0
84,11,24,394,71,30.0
85,11,21,397,71,20.0
86,11,19,399,71,10.0
87,11,19,399,71,10.0
88,11,13,405,71,0.0
89,11,10,408,71,0.0
90,11,9,409,71,0.0
91,11,9,409,71,0.0
92,11,8,410,71,0.0
93,11,8,410,71,0.0
94,11,6,412,71,0.0
95,11,6,412,72,0.0
96,11,4,413,72,0.0
97,11,2,415,72,0.0
98,11,2,415,72,0.0
99,11,2,415,72,0.0
